#ZVView-data-copy:  23-Oct-2017 00:19:30
#=======================================
#
#name:   29-CU-0(P,X)27-CO-58,CUM,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  13
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          49.1         0.34       0.0353     0.001059  # 1982,A.Gruetter          ## D0505012
          52.4         0.34       0.0296     0.000888  # 1982,A.Gruetter          ## D0505012
          52.4         0.34       0.0299     0.000897  # 1982,A.Gruetter          ## D0505012
          55.5         0.34        0.028      0.00084  # 1982,A.Gruetter          ## D0505012
          55.5         0.34       0.0265     0.000795  # 1982,A.Gruetter          ## D0505012
          58.5         0.34       0.0275     0.000825  # 1982,A.Gruetter          ## D0505012
          60.7         0.34       0.0287     0.000861  # 1982,A.Gruetter          ## D0505012
            63            0     0.032367     0.000783  # 2003,H.Yashima+          ## E1829047
          65.1         0.34       0.0321     0.000963  # 1982,A.Gruetter          ## D0505012
          65.1         0.34       0.0331     0.000993  # 1982,A.Gruetter          ## D0505012
          67.6         0.34       0.0362     0.001086  # 1982,A.Gruetter          ## D0505012
          69.7         0.34       0.0392     0.001176  # 1982,A.Gruetter          ## D0505012
          69.7         0.34       0.0376     0.001128  # 1982,A.Gruetter          ## D0505012
          69.8         0.34       0.0388     0.001164  # 1982,A.Gruetter          ## D0505012
            76            0     0.046606     0.001128  # 2003,H.Yashima+          ## E1829047
            88            0     0.044347     0.001073  # 2003,H.Yashima+          ## E1829047
            98            0     0.046939     0.001136  # 2003,H.Yashima+          ## E1829047
           100            0     0.050538     0.001476  # 2003,H.Yashima+          ## E1829047
           139            0     0.048268     0.001409  # 2003,H.Yashima+          ## E1829047
           173            0     0.044056     0.001286  # 2003,H.Yashima+          ## E1829047
           202            0     0.042755     0.001248  # 2003,H.Yashima+          ## E1829047
           230            0     0.039268     0.001147  # 2003,H.Yashima+          ## E1829047
//
#-------------------------------------------------------------------------------
